date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:14	19530/19530	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20May%202014%2006:19:13%20GMT	http://laravel.com/docs/quick	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/laravel.com/docs/quick.html	(from )
12:49:15	106/106	---M--	200	added ('OK')	text/plain	date:Tue,%2010%20Dec%202013%2020:25:59%20GMT	http://laravel.com/robots.txt		(from )
12:49:16	3445/3445	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Dec%202013%2020:25:59%20GMT	http://laravel.com/favicon.png?v=2	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/laravel.com/favicon5e1f.png	(from http://laravel.com/docs/quick)
12:49:17	463/463	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202013%2020:25:59%20GMT	http://laravel.com/assets/css/style.css	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/laravel.com/assets/css/style.css	(from http://laravel.com/docs/quick)
12:49:22	16713/16713	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2010%20Dec%202013%2020:25:59%20GMT	http://laravel.com/assets/js/plugins.js	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/laravel.com/assets/js/plugins.js	(from http://laravel.com/docs/quick)
12:49:23	3699/3699	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2027%20Mar%202014%2001:24:46%20GMT	http://laravel.com/assets/js/application.js	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/laravel.com/assets/js/application.js	(from http://laravel.com/docs/quick)
12:49:24	93099/93099	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2010%20Dec%202013%2020:25:59%20GMT	http://laravel.com/assets/js/jquery.js	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/laravel.com/assets/js/jquery.js	(from http://laravel.com/docs/quick)
12:49:25	16705/16705	---M--	200	added ('OK')	text/javascript	etag:%22301//loader/run_prettify.js%22	http://google-code-prettify.googlecode.com/svn/loader/run_prettify.js	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/google-code-prettify.googlecode.com/svn/loader/run_prettify.js	(from http://laravel.com/docs/quick)
12:49:25	23202/23202	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2018%20May%202014%2006:15:42%20GMT	http://use.edgefonts.net/source-sans-pro:n3,i3,n4,i4,n6,i6,n7,i7.js	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/use.edgefonts.net/source-sans-pro_n3,i3,n4,i4,n6,i6,n7,i7.js	(from http://laravel.com/docs/quick)
12:49:26	23070/23070	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2018%20May%202014%2006:15:28%20GMT	http://use.edgefonts.net/source-code-pro.js	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/use.edgefonts.net/source-code-pro.js	(from http://laravel.com/docs/quick)
12:49:27	405/405	---MC-	302	error ('Found')	text/html	date:Sun,%2018%20May%202014%2006:19:26%20GMT	http://laravel.com/docs/dev	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/laravel.com/docs/dev	(from http://laravel.com/docs/quick)
12:49:27	405/405	---MC-	302	error ('Found')	text/html	date:Sun,%2018%20May%202014%2006:19:27%20GMT	http://laravel.com/docs/4-2	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/laravel.com/docs/4-2	(from http://laravel.com/docs/quick)
12:49:27	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2009%20Jul%202013%2011:31:25%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from http://laravel.com/docs/quick)
12:49:28	405/405	---MC-	302	error ('Found')	text/html	date:Sun,%2018%20May%202014%2006:19:28%20GMT	http://laravel.com/docs/4-1	C:/My%20Web%20Sites/Laravel%204.2%20(Beta)/laravel.com/docs/4-1	(from http://laravel.com/docs/quick)
